orderdate,ordernumber,productName,productLine,country,city,sales_value,cost_of_sales,net_profit
2004-01-02,10208,"2001 Ferrari Enzo","Classic Cars",France,Lyon,8124.98,4397.14,3727.84
2004-01-02,10208,"1969 Corvair Monza","Classic Cars",France,Lyon,3338.92,2317.64,1021.28
2004-01-02,10208,"1969 Ford Falcon","Classic Cars",France,Lyon,3045.20,1661.00,1384.20
2004-01-02,10208,"1903 Ford Model A","Vintage Cars",France,Lyon,2819.28,1639.20,1180.08
2004-01-02,10208,"Collectable Wooden Train",Trains,France,Lyon,4646.88,3242.88,1404.00
2004-01-02,10208,"1904 Buick Runabout","Vintage Cars",France,Lyon,3278.25,2369.70,908.55
2004-01-02,10208,"18th century schooner",Ships,France,Lyon,4301.15,2881.90,1419.25
2004-01-02,10208,"1912 Ford Model T Delivery Wagon","Vintage Cars",France,Lyon,1610.80,938.20,672.60
2004-01-02,10208,"1962 City of Detroit Streetcar",Trains,France,Lyon,1739.70,1124.70,615.00
2004-01-02,10208,"The Schooner Bluenose",Ships,France,Lyon,2153.46,1292.00,861.46
2004-01-02,10208,"The Mayflower",Ships,France,Lyon,2944.80,1732.00,1212.80
2004-01-02,10208,"The USS Constitution Ship",Ships,France,Lyon,2926.06,1562.62,1363.44
2004-01-02,10208,"The Titanic",Ships,France,Lyon,3520.92,1890.33,1630.59
2004-01-02,10208,"The Queen Mary",Ships,France,Lyon,3146.22,1769.79,1376.43
2004-01-02,10208,"Pont Yacht",Ships,France,Lyon,2018.10,1398.60,619.50
2004-01-09,10209,"1972 Alfa Romeo GTA","Classic Cars",USA,"Los Angeles",5038.80,3341.52,1697.28
2004-01-09,10209,"1999 Yamaha Speed Boat",Ships,USA,"Los Angeles",2312.24,1445.08,867.16
2004-01-09,10209,"1941 Chevrolet Special Deluxe Cabriolet","Vintage Cars",USA,"Los Angeles",1948.00,1291.60,656.40
2004-01-09,10209,"1900s Vintage Bi-Plane",Planes,USA,"Los Angeles",2857.35,1472.75,1384.60
2004-01-09,10209,"1937 Horch 930V Limousine","Vintage Cars",USA,"Los Angeles",2035.80,946.80,1089.00
2004-01-09,10209,"1940 Ford Delivery Sedan","Vintage Cars",USA,"Los Angeles",1752.74,1070.08,682.66
2004-01-09,10209,"HMS Bounty",Ships,USA,"Los Angeles",2987.16,1314.39,1672.77
2004-01-09,10209,"Boeing X-32A JSF",Planes,USA,"Los Angeles",2121.60,1572.96,548.64
2004-01-12,10210,"1996 Moto Guzzi 1100i",Motorcycles,Japan,Kita-ku,2598.77,1586.77,1012.00
2004-01-12,10210,"2003 Harley-Davidson Eagle Drag Bike",Motorcycles,Japan,Kita-ku,6452.86,3094.68,3358.18
2004-01-12,10210,"1980s Black Hawk Helicopter",Planes,Japan,Kita-ku,4399.52,2395.37,2004.15
2004-01-12,10210,"P-51-D Mustang",Planes,Japan,Kita-ku,3421.50,2450.00,971.50
2004-01-12,10210,"1936 Harley Davidson El Knucklehead",Motorcycles,Japan,Kita-ku,2059.20,969.20,1090.00
2004-01-12,10210,"1928 British Royal Navy Airplane",Planes,Japan,Kita-ku,2718.09,1801.98,916.11
